postscript	lang	text	fallback	url	group	full_name
Texturina12pt-Regular	en	Texturina	Texturina	https://storage.appchief.dev/fonts/url/c4mM1nxpEtL3pXiAulRTkY-HGmNEX1b9NspjMwhAgliHhVrXy2eYGvUg25riW1OD.ttf	الانجليزية	Texturina 12pt Regular
RozhaOne-Regular	en	Rozha One	Rozha One	https://storage.appchief.dev/fonts/url/AlZy_zVFtYP12Zncg2khdXf4XB0Tow.ttf	الانجليزية	Rozha One Regular
Kurale-Regular	en	Kurale	Kurale	https://storage.appchief.dev/fonts/url/4iCs6KV9e9dXjho6eAT3v02QFg.ttf	الانجليزية	Kurale Regular
CormorantUpright-Regular	en	Cormorant Upright	Cormorant Upright	https://storage.appchief.dev/fonts/url/VuJrdM3I2Y35poFONtLdafkUCHw1y2vVjjTkeMnz.ttf	الانجليزية	Cormorant Upright Regular
Italiana-Regular	en	Italiana	Italiana	https://storage.appchief.dev/fonts/url/QldNNTtLsx4E__B0XTmRY31Wx7Vv.ttf	الانجليزية	Italiana
Almendra-Regular	en	Almendra	Almendra	https://storage.appchief.dev/fonts/url/H4ckBXKAlMnTn0CskyY6wr-wg763.ttf	الانجليزية	Almendra Regular
AlmendraSC-Regular	en	Almendra SC	Almendra SC	https://storage.appchief.dev/fonts/url/Iure6Yx284eebowr7hbyTZZJprVA4XQ0.ttf	الانجليزية	Almendra SC Regular
Cinzel-Regular	en	Cinzel	Cinzel	https://storage.appchief.dev/fonts/url/8vIU7ww63mVu7gtR-kwKxNvkNOjw-tbnTYrvDE5ZdqU.ttf	الانجليزية	Cinzel Regular
Agne-Regular	en	Agne	Agne	https://storage.appchief.dev/fonts/February2021/4qTJcPvIMFBbIWOsbcII.otf	الانجليزية	Agne
Ultra-Regular	en	Ultra	Ultra	https://storage.appchief.dev/fonts/url/zOLy4prXmrtY-tT6yLOD6NxF.ttf	الانجليزية	Ultra Regular
AveriaSerifLibre-Regular	en	Averia Serif Libre	Averia Serif Libre	https://storage.appchief.dev/fonts/url/neIWzD2ms4wxr6GvjeD0X88SHPyX2xY-pQGOyYw2fw.ttf	الانجليزية	Averia Serif Libre Regular
RobotoSlab-Medium	en	Roboto Slab	Roboto Slab	https://storage.appchief.dev/fonts/url/BngbUXZYTXPIvIBgJJSb6s3BzlRRfKOFbvjovoSWaG5iddG-1A.ttf	الانجليزية	Roboto Slab Medium
MorningGlory	en	Morning Glory	Morning Glory	https://storage.appchief.dev/fonts/March2022/gxkDKorv3zmdKWwytV5l.ttf	الانجليزية	Morning Glory
Actor-Regular	en	Actor	Actor	https://storage.appchief.dev/fonts/August2025/M4nI62AvyVnnWtOD1qJt.ttf	الانجليزية	Actor Regular
Cagliostro-Regular	en	Cagliostro	Cagliostro	https://storage.appchief.dev/fonts/September2025/AY6UCAvhUaGmPOS76vf1.ttf	الانجليزية	Cagliostro Regular
Philosopher-Regular	en	Philosopher	Philosopher	https://storage.appchief.dev/fonts/September2025/AG7z5zSNSuuRb7qoUvwX.ttf	الانجليزية	Philosopher Regular
Philosopher-Bold	en	Philosopher	Philosopher	https://storage.appchief.dev/fonts/September2025/SiON0kDxQhTs6u8kSCbN.ttf	الانجليزية	Philosopher Bold
Philosopher-Italic	en	Philosopher	Philosopher	https://storage.appchief.dev/fonts/September2025/eZE2zjOx1kSivW39WAhe.ttf	الانجليزية	Philosopher Italic
SquadaOne-Regular	en	Squada One	Squada One	https://storage.appchief.dev/fonts/October2025/nCnLV6djnRyonB03WqGH.ttf	الانجليزية	Squada One
BricolageGrotesque-96ptExtraBold	en	Bricolage Grotesque	Bricolage Grotesque	https://storage.appchief.dev/fonts/October2025/wSYYy1SvvnakglmlDjCH.ttf	الانجليزية	Bricolage Grotesque 96pt ExtraBold
DarkerGrotesque-Regular	en	Darker Grotesque	Darker Grotesque	https://storage.appchief.dev/fonts/March2024/IvUCGmELHuj5F7L9wIrb.ttf	الانجليزية	Darker Grotesque Regular
DarkerGrotesque-Bold	en	Darker Grotesque	Darker Grotesque	https://storage.appchief.dev/fonts/March2024/1oUblJHY2mn4SGwK6fe2.ttf	الانجليزية	Darker Grotesque Bold
DarkerGrotesque-Black	en	Darker Grotesque	Darker Grotesque	https://storage.appchief.dev/fonts/March2024/07RaSVvjvYgdbbrDEWDU.ttf	الانجليزية	Darker Grotesque Black
OpenSans-Regular	en	Open Sans	Open Sans	https://storage.appchief.dev/fonts/July2024/fiXTFfu4RcUOXiSYsWs2.ttf	الانجليزية	Open Sans Regular
Poppins-Regular	en	Poppins	Poppins	https://storage.appchief.dev/fonts/February2023/HZ4ZnBZnpvIOGNOm9s2d.ttf	الانجليزية	Poppins Regular
BebasNeue-Regular	en	Bebas Neue	Bebas Neue	https://storage.appchief.dev/fonts/February2023/bnd6HcSDMQK9G9pDRxB0.ttf	الانجليزية	Bebas Neue Regular
Montserrat-Thin	en	Montserrat	Montserrat	https://storage.appchief.dev/fonts/url/JTUQjIg1_i6t8kCHKm45_QphziTn89dtpQ.ttf	الانجليزية	Montserrat Thin
Montserrat-Regular	en	Montserrat	Montserrat	https://storage.appchief.dev/fonts/url/JTUSjIg1_i6t8kCHKm45xW5rygbi49c.ttf	الانجليزية	Montserrat Regular
Montserrat-Black	en	Montserrat	Montserrat	https://storage.appchief.dev/fonts/url/JTURjIg1_i6t8kCHKm45_epG7g7J_950vCo.ttf	الانجليزية	Montserrat Black
MontserratAlternates-Regular	en	Montserrat Alternates	Montserrat Alternates	https://storage.appchief.dev/fonts/url/mFTvWacfw6zH4dthXcyms1lPpC8I_b0juU0J7K3RCJ1b0w.ttf	الانجليزية	Montserrat Alternates Regular
MontserratSubrayada-Regular	en	Montserrat Subrayada	Montserrat Subrayada	https://storage.appchief.dev/fonts/url/U9MD6c-o9H7PgjlTHThBnNHGVUORwteQQE8LYuceqGT-.ttf	الانجليزية	MontserratSubrayada-Regular
Raleway-Regular	en	Raleway	Raleway	https://storage.appchief.dev/fonts/url/1Ptxg8zYS_SKggPN4iEgvnHyvveLxVvaooCPNLA3JC9c.ttf	الانجليزية	Raleway Regular
Teko-Regular	en	Teko	Teko	https://storage.appchief.dev/fonts/url/LYjNdG7kmE0gTaR3pCtBtVs.ttf	الانجليزية	Teko Regular
Abel-Regular	en	Abel	Abel	https://storage.appchief.dev/fonts/url/MwQ5bhbm2POE6VhLPJp6qGI.ttf	الانجليزية	Abel Regular
SixCaps	en	Six Caps	Six Caps	https://storage.appchief.dev/fonts/url/6ae_4KGrU7VR7bNmabcS9XXaPCop.ttf	الانجليزية	Six Caps
KiteOne-Regular	en	Kite One	Kite One	https://storage.appchief.dev/fonts/url/70lQu7shLnA_E02vyq1b6HnGO4uA.ttf	الانجليزية	Kite One
WireOne	en	Wire One	Wire One	https://storage.appchief.dev/fonts/url/qFdH35Wah5htUhV75WGiWdrCwwcJ.ttf	الانجليزية	Wire One
Dorsa-Regular	en	Dorsa	Dorsa	https://storage.appchief.dev/fonts/url/yYLn0hjd0OGwqo493XCFxAnQ.ttf	الانجليزية	Dorsa
RumRaisin-Regular	en	Rum Raisin	Rum Raisin	https://storage.appchief.dev/fonts/url/nwpRtKu3Ih8D5avB4h2uJ3-IywA7eMM.ttf	الانجليزية	Rum Raisin
DotGothic16-Regular	en	DotGothic16	DotGothic16	https://storage.appchief.dev/fonts/url/v6-QGYjBJFKgyw5nSoDAGE7L435YPFrT.ttf	الانجليزية	DotGothic16 Regular
Stick-Regular	en	Stick	Stick	https://storage.appchief.dev/fonts/url/Qw3TZQpMCyTtJSvfvPVDMPoF.ttf	الانجليزية	Stick Regular
Apple-Chancery	en	Apple Chancery	Apple Chancery	https://storage.appchief.dev/fonts/February2021/KQQ3D8syANyIJAPBW0qe.ttf	الانجليزية	Apple Chancery
MazzardH-Black	en	Mazzard H	Mazzard H	https://storage.appchief.dev/fonts/February2021/zKLwzUv45kq3g46wY2BI.otf	الانجليزية	Mazzard H Black
MazzardH-BlackItalic	en	Mazzard H	Mazzard H	https://storage.appchief.dev/fonts/February2021/BY4jBY7OGjxb6QHQakfG.otf	الانجليزية	Mazzard H Black Italic
Silka-Regular	en	Silka	Silka	https://storage.appchief.dev/fonts/February2021/brsTGIbnYr7Hpro9QUDX.otf	الانجليزية	Silka Regular
Silka-RegularItalic	en	Silka	Silka	https://storage.appchief.dev/fonts/February2021/wtqThZOTSABWT7GI7ZlF.otf	الانجليزية	Silka Regular Italic
KotoriRose-Bold	en	Kotori Rose	Kotori Rose	https://storage.appchief.dev/fonts/February2021/pEOlo0GMVWgJ4fs59FHW.otf	الانجليزية	KotoriRose-Bold
KotoriRose-Regular	en	Kotori Rose	Kotori Rose	https://storage.appchief.dev/fonts/February2021/pBrkeuYhKECgJyBpW0mw.otf	الانجليزية	KotoriRose-Regular
Moon2.0-Bold	en	Moon 2.0	Moon 2.0	https://storage.appchief.dev/fonts/February2021/N0gBQhk1Fsa4MlVxjDrs.otf	الانجليزية	Moon 2.0 Bold
Moon2.0-Light	en	Moon 2.0	Moon 2.0	https://storage.appchief.dev/fonts/February2021/W2SkUzAfd444pHCHQovh.otf	الانجليزية	Moon 2.0 Light
Moon2.0-Regular	en	Moon 2.0	Moon 2.0	https://storage.appchief.dev/fonts/February2021/9fRufg5Yj9KaXsmKSbX5.otf	الانجليزية	Moon 2.0 Regular
RobotoMono-Regular	en	Roboto Mono	Roboto Mono	https://storage.appchief.dev/fonts/July2024/Id4XTsHA4SC7asXTQ4jm.ttf	الانجليزية	Roboto Mono Regular
RobotoMono-Italic	en	Roboto Mono	Roboto Mono	https://storage.appchief.dev/fonts/July2024/7r9VDdhz2pVOE4t71v70.ttf	الانجليزية	Roboto Mono Italic
MajorMonoDisplay-Regular	en	Major Mono Display	Major Mono Display	https://storage.appchief.dev/fonts/url/RWmVoLyb5fEqtsfBX9PDZIGr2tFubRhLCn2QIndPww.ttf	الانجليزية	Major Mono Display Regular
XanhMono-Italic	en	Xanh Mono	Xanh Mono	https://storage.appchief.dev/fonts/url/R70ejykVmvKCep-vWhSomgqUfTfxTo24.ttf	الانجليزية	Xanh Mono Italic
CutiveMono-Regular	en	Cutive Mono	Cutive Mono	https://storage.appchief.dev/fonts/url/m8JWjfRfY7WVjVi2E-K9H5RFRG-K3Mud.ttf	الانجليزية	Cutive Mono Regular
AndaleMono	en	Andale Mono	Andale Mono	https://storage.appchief.dev/fonts/February2021/p3YBZObm96j5tPFjrI8i.ttf	الانجليزية	Andale Mono
CourierNewPS-BoldItalicMT	en	Courier New	Courier New	https://storage.appchief.dev/fonts/February2021/UJEL1P1ZFhEC4psAJ8Fc.ttf	الانجليزية	Courier New Bold Italic
CourierNewPS-BoldMT	en	Courier New	Courier New	https://storage.appchief.dev/fonts/February2021/b7rioP8fVuqR0rl1hCrt.ttf	الانجليزية	Courier New Bold
CourierNewPS-ItalicMT	en	Courier New	Courier New	https://storage.appchief.dev/fonts/February2021/h9KYRdtFgyrbZRrq8QSr.ttf	الانجليزية	Courier New Italic
CourierNewPSMT	en	Courier New	Courier New	https://storage.appchief.dev/fonts/February2021/x7lJTRoHdzr8u5XXYJ3W.ttf	الانجليزية	Courier New
DINAlternate-Bold	en	DIN Alternate	DIN Alternate	https://storage.appchief.dev/fonts/February2021/ymJnfRAORrr3IDJc3gjQ.ttf	الانجليزية	DIN Alternate Bold
PlaywriteBEVLG-Regular	en	Playwrite BE VLG	Playwrite BE VLG	https://storage.appchief.dev/fonts/July2024/0lQmczBhiPoEU0kMaDzU.ttf	الانجليزية	Playwrite BE VLG Regular
Amithen	en	Amithen	Amithen	https://storage.appchief.dev/fonts/March2022/Ai7Tqq5bNS1IdZCbRp9d.ttf	الانجليزية	Amithen
