postscript	lang	text	fallback	url	group	full_name
Qwigley-Regular	en	Qwigley	Qwigley	https://storage.appchief.dev/fonts/August2025/MdWRfpZlyC0fgo47bt0n.ttf	الانجليزية	Qwigley Regular
Cherish-Regular	en	Cherish	Cherish	https://storage.appchief.dev/fonts/August2025/c0yMrytiWwi5Fo7tUhRl.ttf	الانجليزية	Cherish Regular
IslandMoments-Regular	en	Island Moments	Island Moments	https://storage.appchief.dev/fonts/September2025/GZ6YHfwu6GLYShW4iFxI.ttf	الانجليزية	Island Moments Regular
Pacifico-Regular	en	Pacifico	Pacifico	https://storage.appchief.dev/fonts/November2024/yRo9zhagnSrjRBa7DPjh.ttf	الانجليزية	Pacifico Regular
Nabla-Regular	en	Nabla	Nabla	https://storage.appchief.dev/fonts/url/j8_D6-LI0Lvpe7Makz5UhJt9C3uqg_X_75gyGS4jAxsNIjrRNRBUFFR_198.ttf	الانجليزية	Nabla Regular
PatrickHand-Regular	en	Patrick Hand	Patrick Hand	https://storage.appchief.dev/fonts/url/LDI1apSQOAYtSuYWp8ZhfYeMWcjKm7sp8g.ttf	الانجليزية	Patrick Hand
PatrickHandSC-Regular	en	Patrick Hand SC	Patrick Hand SC	https://storage.appchief.dev/fonts/url/0nkwC9f7MfsBiWcLtY65AWDK873ViSi6JQc7Vg.ttf	الانجليزية	Patrick Hand SC
GochiHand-Regular	en	Gochi Hand	Gochi Hand	https://storage.appchief.dev/fonts/url/hES06XlsOjtJsgCkx1PkTo71-n0nXWA.ttf	الانجليزية	Gochi Hand
ResalatyArabic-Regular	ar	رسالتي	Resalaty Arabic	https://storage.appchief.dev/fonts/February2026/AAVVnvQ2UAsRDhglEkar.ttf	حصري	Resalaty Arabic Regular
LemonBrush-Arabic	ar	ليمون	Lemon Brush Arabic	https://storage.appchief.dev/fonts/March2026/Gr4I488rDKuEDoOmbEzx.ttf	حصري	Lemon Brush Arabic
KOLab-Bold	ar	كولاب	KO Lab	https://storage.appchief.dev/fonts/July2025/11MnDno9zxDljhbKRjy8.ttf	حصري	KO Lab Bold
KoShareb-Display	ar	كوشاريب	KoShareb Display	https://storage.appchief.dev/fonts/July2025/up2LkJGeujwtmVZznovb.ttf	حصري	KoShareb Display
KORubbamaExpanded-BlackExpanded	ar	ربما	KO Rubbama	https://storage.appchief.dev/fonts/July2025/PKu75aNkkEiSjws5sSIr.ttf	حصري	KO Rubbama
KORubbama-Black	ar	ربما	KO Rubbama	https://storage.appchief.dev/fonts/July2025/3c7E3f6SvFlFI1bxCIuB.ttf	حصري	KO Rubbama
GuesswhatTrial-Exceptional	ar	جيس وات	Guesswhat Trial Exceptional	https://storage.appchief.dev/fonts/July2025/hZA4p8SwRvGROMaHedPD.ttf	حصري	Guesswhat Trial Exceptional
KOGhorab-Regular	ar	غراب	KO Ghorab	https://storage.appchief.dev/fonts/July2025/xlqoA6Pyrsf0LNUqNNty.ttf	حصري	KO Ghorab Regular
Dang-Long	ar	دانك طويل	Dang Long	https://storage.appchief.dev/fonts/February2025/mndaN3AWdgjJliBG0zfY.ttf	حصري	Dang Long
Dang-Short	ar	دانك قصير	Dang Short	https://storage.appchief.dev/fonts/February2025/MP9LCisnFvVGlkxSQJVs.ttf	حصري	Dang Short
Quarantine-Light	ar	كرنتينة	Quarantine	https://storage.appchief.dev/fonts/February2025/DSZwi9U5e2hyMzne8yJT.ttf	حصري	Quarantine Light
Quarantine-BlackDisplay	ar	كرنتينة	Quarantine	https://storage.appchief.dev/fonts/May2025/i6FKCDZ58OfBjCBZS4Bt.ttf	حصري	Quarantine Black Display
Quarantine-Black	ar	كرنتينة	Quarantine	https://storage.appchief.dev/fonts/February2025/gHZTWE9ETZgdlTsV4t8f.ttf	حصري	Quarantine Black
Quarantine-Bold	ar	كرنتينة	Quarantine	https://storage.appchief.dev/fonts/February2025/pkI3BwW1e44hLZlicEQU.ttf	حصري	Quarantine Bold
Quarantine-Medium	ar	كرنتينة	Quarantine	https://storage.appchief.dev/fonts/February2025/dYGRYTXPvwkIX4qz5hYF.ttf	حصري	Quarantine Medium
Quarantine-Normal	ar	كرنتينة	Quarantine Normal	https://storage.appchief.dev/fonts/February2025/GspdjCntZsVGP4s1nM3W.ttf	حصري	Quarantine Normal
Parnian-Bold	ar	برنيان	Parnian	https://storage.appchief.dev/fonts/January2025/PfSspy9F5W5QmcFsIu7W.ttf	حصري	Parnian Bold
Maneli	ar	مانلي	Maneli	https://storage.appchief.dev/fonts/March2025/DiZNIPUmZkU6Z904HQ39.ttf	حصري	Maneli
HAKAZA-Regular	ar	هكذا	HAKAZA	https://storage.appchief.dev/fonts/February2025/StASO3UlsVOAg0EStHju.ttf	حصري	HAKAZA Regular
DoranVF-Thin	ar	دوران	Doran VF	https://storage.appchief.dev/fonts/April2025/WUTLjLI2cmd6mY27wiX2.ttf	حصري	Doran VF Thin
Doran-Light	ar	دوران	Doran	https://storage.appchief.dev/fonts/February2025/l9VUojQP6NRIKpFEPLSd.ttf	حصري	Doran Light
Doran-Regular	ar	دوران	Doran	https://storage.appchief.dev/fonts/February2025/9zwAxfaaTa7rGbZkhpV7.ttf	حصري	Doran Regular
Doran-Medium	ar	دوران	Doran	https://storage.appchief.dev/fonts/February2025/kMUxcQm59GlRcJ97Ld8c.ttf	حصري	Doran Medium
Doran-Bold	ar	دوران	Doran	https://storage.appchief.dev/fonts/February2025/lYIuPLNankIa2933TnKO.ttf	حصري	Doran Bold
Doran-Black	ar	دوران	Doran	https://storage.appchief.dev/fonts/February2025/ZDeYANGdo6A4P9ciSNsT.ttf	حصري	Doran Black
